Entity,Code,Year,Renewables (% equivalent primary energy),Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Electricity from wind (TWh)_x,Electricity from hydro (TWh)_x,Electricity from solar (TWh)_x,Other renewables including bioenergy (TWh),Renewables (% electricity),Electricity from hydro (TWh)_y,Hydro (% equivalent primary energy),Hydro (% electricity),Electricity from wind (TWh)_y,Wind (% equivalent primary energy),Wind (% electricity),Electricity from solar (TWh)_y,Solar (% equivalent primary energy),Solar (% electricity),Biofuels Production - TWh - Total
Argentina,ARG,1986,12.298526,0.123990245,0.0,0.0,21.030247,0.0,21.030247,0.0,0.123990245,43.15237,21.030247,12.220743,42.89944,0.0,0.0,0.0,0.0,0.0,0.0,
Argentina,ARG,1987,12.247486,0.10598629,0.0,0.0,21.912518,0.0,21.912518,0.0,0.10598629,42.24961,21.912518,12.183867,42.04624,0.0,0.0,0.0,0.0,0.0,0.0,
Argentina,ARG,1988,8.417367,0.12296129,0.0,0.0,15.259144,0.0,15.259144,0.0,0.12296129,29.299515,15.259144,8.344774,29.065302,0.0,0.0,0.0,0.0,0.0,0.0,
Argentina,ARG,1989,7.5435934,0.10600155,0.0,0.0,13.187393,0.0,13.187393,0.0,0.10600155,26.135784,13.187393,7.478697,25.927376,0.0,0.0,0.0,0.0,0.0,0.0,
Argentina,ARG,1990,10.292679,0.13302182,0.0,0.0,17.713175,0.0,17.713175,0.0,0.13302182,34.989185,17.713175,10.209906,34.728382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,1991,9.081444,0.1310081,0.0,0.0,15.869253,0.0,15.869253,0.0,0.1310081,29.710293,15.869253,9.001223,29.467028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,1992,10.206743,0.12998593,0.0,0.0,19.16509,0.0,19.16509,0.0,0.12998593,34.389725,19.16509,10.132553,34.15805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,1993,12.216533,0.09599508,0.0,0.0,23.768307,0.0,23.768307,0.0,0.09599508,38.57245,23.768307,12.1635,38.417286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,1994,13.306406,0.099004395,0.0,0.0,27.286676,0.0,27.286676,0.0,0.099004395,41.73245,27.286676,13.254489,41.581577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,1995,12.535519,0.119016126,0.0,0.0,26.503681,0.0,26.503681,0.0,0.119016126,39.635246,26.503681,12.475042,39.458057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,1996,10.225038,0.22302064,0.0,0.009618,22.471685,0.009618,22.471685,0.0,0.22302064,32.54642,22.471685,10.112366,32.212933,0.009618,0.004328139,0.013787307,0.0,0.0,0.0,0.0
Argentina,ARG,1997,12.514141,0.17875852,0.0,0.014592,27.924665,0.014592,27.924665,0.0,0.17875852,38.803555,27.924665,12.421807,38.536728,0.014592,0.0064909924,0.020137321,0.0,0.0,0.0,0.0
Argentina,ARG,1998,11.482152,0.20689325,1.7e-05,0.032541,26.475504,0.032541,26.475504,1.7e-05,0.20689325,36.01876,26.475504,11.372231,35.695915,0.032541,0.0139775835,0.043873794,1.7e-05,7.3034457e-06,2.2920456e-05,0.0
Argentina,ARG,1999,9.226557,0.26199996,2.6e-05,0.034781,21.396791,0.034781,21.396791,2.6e-05,0.26199996,26.86689,21.396791,9.091587,26.499302,0.034781,0.0147785805,0.043075256,2.6e-05,1.1056523e-05,3.220024e-05,0.0
Argentina,ARG,2000,12.283858,0.3860283,3.6e-05,0.034758,28.575241,0.04,28.49,0.0,0.36,33.88856,28.49,12.092774,33.419353,0.04,0.01470928,0.04692082,0.0,1.5225888e-05,0.0,0.053206034
Argentina,ARG,2001,15.937488,0.36299825,4.3e-05,0.049361,36.580173,0.05,36.65,0.0,0.34,42.82576,36.65,15.746431,42.374844,0.05,0.02124812,0.057810154,0.0,1.851931e-05,0.0,0.106121324
Argentina,ARG,2002,16.249306,0.5299802,4.7e-05,0.073405,35.778835,0.07,35.49,0.0,0.5,44.43623,35.49,15.958025,43.73383,0.07,0.032739975,0.08626001,0.0,2.0968526e-05,0.0,0.106121324
Argentina,ARG,2003,14.408259,0.88059855,6.5e-05,0.077954,33.800575,0.08,33.47,0.0,0.83,39.006126,33.47,13.975237,37.97368,0.08,0.032230996,0.090764694,0.0,2.6889687e-05,0.0,0.106121324
Argentina,ARG,2004,12.1855755,0.86751235,"0,00007",0.072446,30.462402,0.07,30.14,0.0,0.82,32.42763,30.14,11.785715,31.497543,0.07,0.02802891,0.073152885,0.0,2.707599e-05,0.0,0.10641207
Argentina,ARG,2005,12.788524,0.9164998,8.1e-05,0.07171966,34.216137,0.08,33.66,0.0,0.86,34.304974,33.66,12.392465,33.372993,0.08,0.02597556,0.07931787,0.0,2.9337736e-05,0.0,0.106121324
Argentina,ARG,2006,13.449462,1.046309,"0,00009",0.06964,38.015213,0.07,37.57,0.0,1.03,34.712746,37.57,13.023436,33.725315,0.07,0.023857594,0.062836625,0.0,3.0835607e-05,0.0,0.35267234
Argentina,ARG,2007,10.599154,1.0708514,0.0001089,0.061593,31.22015,0.06,30.06,0.0,1.06,28.128101,30.06,10.18465,27.117727,0.06,0.020092895,0.0541272,0.0,3.5572175e-05,0.0,2.007858
Argentina,ARG,2008,10.437064,1.2059801,0.0001437,0.04195108,31.199696,0.04,30.11,0.0,1.13,27.25926,30.11,9.985144,26.23965,0.04,0.013426018,0.034858387,0.0,4.5872686e-05,0.0,7.1122904
Argentina,ARG,2009,11.783506,1.1889358,7.6084e-05,0.036831528,34.618187,0.04,33.53,0.0,1.13,29.836628,33.53,11.326775,28.83061,0.04,0.012050945,0.03439381,0.0,2.4896292e-05,0.0,11.965088
Argentina,ARG,2010,11.661375,1.4423598,"0,08589",0.025351606,33.35991,0.03,33.02,0.0,1.36,28.761284,33.02,10.463687,27.599464,0.03,0.007951787,0.025075225,0.0,2.6933396e-05,0.0,19.893944
Argentina,ARG,2011,10.929448,1.4191314,0.001614,0.02659055,31.18693,0.06,31.03,0.0,1.34,26.419552,31.03,9.461024,25.279022,0.06,0.008066647,0.048879836,0.0,0.00048874883,0.0,25.844816
Argentina,ARG,2012,10.216426,1.484553,0.008172967,0.369862,29.1644,0.82,28.71,0.01,1.39,24.0345,28.71,8.462529,22.309425,0.82,0.10732154,0.63719016,0.01,0.0023722528,0.0077706114,26.502537
Argentina,ARG,2013,10.950079,1.6066635,0.015074079,0.45335487,32.771378,1.01,32.51,0.01,1.5,26.475702,32.51,9.08736,24.571081,1.01,0.12571332,0.7633588,0.01,0.0041799652,0.0075580077,23.838686
Argentina,ARG,2014,11.038978,1.482859,0.015944,0.619491,32.416695,0.62,32.33,0.02,1.4,26.075413,32.33,8.962524,24.52773,0.62,0.17127603,0.47037402,0.02,0.004408179,0.015173356,30.584423
Argentina,ARG,2015,10.907397,1.517351,0.014683,0.593335,32.33747,0.59,31.94,0.01,1.43,24.65346,31.94,8.738676,23.180202,0.59,0.16033915,0.42818782,0.01,0.003967834,0.007257421,23.461845
Argentina,ARG,2016,10.167007,1.1388094,0.014273,0.547359,29.752789,0.54,29.4,0.01,1.07,22.214266,29.4,8.031665,21.05414,0.54,0.14775771,0.3867087,0.01,0.0038529567,0.0071612718,32.768284
Argentina,ARG,2017,10.964719,1.3890371,0.016417,0.611567,31.594284,0.61,31.46,0.02,1.31,24.103342,31.46,8.488072,22.703325,0.61,0.16430265,0.4402107,0.02,0.0044105537,0.014433138,36.23187
